# start     end     duration
1187150318 1187154414 4096
1187154414 1187158510 4096
1187158510 1187162606 4096
1187162606 1187166702 4096
1187166702 1187170798 4096
1187170798 1187174894 4096
1187174894 1187178990 4096
1187178990 1187183086 4096
1187183086 1187187182 4096
1187187182 1187191278 4096
1187191278 1187195374 4096
1187195374 1187199470 4096
1187199470 1187203566 4096
1187203566 1187207662 4096
1187207662 1187211758 4096
1187211758 1187215854 4096
1187215854 1187219950 4096
1187219950 1187224046 4096
1187224046 1187225085 1039
1187227032 1187231128 4096
1187231128 1187232088 960
1187242738 1187243530 792
1187247638 1187251734 4096
1187251734 1187255830 4096
1187255830 1187259926 4096
1187259926 1187264022 4096
1187264022 1187268118 4096
1187268118 1187272214 4096
1187272214 1187276310 4096
1187276310 1187276790 480
1187278803 1187282899 4096
1187282899 1187286995 4096
1187286995 1187291091 4096
1187291091 1187295187 4096
1187295187 1187299283 4096
1187299283 1187300384 1101
1187304896 1187307748 2852
1187310864 1187312021 1157
1187313588 1187317684 4096
1187317684 1187321780 4096
1187321780 1187325876 4096
1187325876 1187329972 4096
1187329972 1187334068 4096
1187334068 1187338164 4096
1187338164 1187342260 4096
1187342260 1187346356 4096
1187346356 1187350452 4096
1187350452 1187353744 3292
1187356678 1187360177 3499
1187366006 1187370102 4096
1187370102 1187374198 4096
1187374198 1187378294 4096
1187378294 1187382390 4096
1187382390 1187386486 4096
1187386486 1187390582 4096
1187390582 1187394678 4096
1187394678 1187398774 4096
1187398774 1187402870 4096
1187402870 1187406966 4096
1187406966 1187411062 4096
1187411062 1187415158 4096
1187415158 1187419254 4096
1187419254 1187423350 4096
1187423350 1187427446 4096
1187427446 1187431542 4096
1187431542 1187435638 4096
1187435638 1187439734 4096
1187439734 1187440027 293
1187441993 1187443322 1329
1187483745 1187487841 4096
1187487841 1187491937 4096
1187491937 1187494760 2823
1187499243 1187503339 4096
1187503339 1187507435 4096
1187507435 1187511531 4096
1187511531 1187515627 4096
1187515627 1187517064 1437
1187523988 1187528084 4096
1187532180 1187536276 4096
1187536276 1187540372 4096
1187540372 1187544468 4096
1187544468 1187548564 4096
1187548564 1187552660 4096
1187552660 1187556756 4096
1187556756 1187560852 4096
1187560852 1187564948 4096
1187564948 1187569044 4096
1187569044 1187573140 4096
1187573140 1187577236 4096
1187577236 1187581332 4096
1187581332 1187585428 4096
1187585428 1187589524 4096
1187589524 1187593620 4096
1187593620 1187597716 4096
1187597716 1187600981 3265
1187605445 1187605470 25
1187605757 1187605809 52
